id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
i7zi27mpsl3vshs673rxrjuf,APPROVED,2021-01-16T16:20:57Z,2021-01-16T16:24:37Z,220.623,35,721,3,100,2021-01-17T01:28:29Z,684BBD13,United States,United States,Full-Time,White,English,United States,Male,No
fdyrc9497el7xca3nm4wr5n3,APPROVED,2021-01-16T16:20:54Z,2021-01-16T16:27:03Z,368.403,21,90,0,100,2021-01-17T01:28:28Z,684BBD13,United States,United States,Unemployed (and job seeking),White,DATA EXPIRED,United States,Female,Yes
90j2chszsm90v05mg8imhvnj,APPROVED,2021-01-16T16:21:10Z,2021-01-16T16:27:31Z,380.952,39,1924,2,100,2021-01-17T01:28:31Z,684BBD13,United States,United States,Full-Time,White,English,United States,Male,No
nxog9nband5ahqpcb5nvbgd1,APPROVED,2021-01-16T16:20:57Z,2021-01-16T16:25:53Z,295.93,45,623,0,100,2021-01-17T01:28:35Z,684BBD13,United States,United States,Full-Time,White,English,United States,Female,No
3kv8ozxvz5sn317k18gh7uly,APPROVED,2021-01-16T16:21:05Z,2021-01-16T16:38:51Z,1066.406,21,246,0,100,2021-01-17T01:28:40Z,684BBD13,United States,United States,Other,White,DATA EXPIRED,United States,Male,Yes
82388599z0in59e8laxc1z4g,APPROVED,2021-01-16T16:21:28Z,2021-01-16T16:26:57Z,329.016,23,24,0,100,2021-01-17T01:28:39Z,684BBD13,United States,United States,Unemployed (and job seeking),White,DATA EXPIRED,United States,Male,Yes
rg5a7xezzcon0xykv5yfqo6q,APPROVED,2021-01-16T16:21:29Z,2021-01-16T16:29:54Z,504.591,34,1200,1,100,2021-01-17T01:28:47Z,684BBD13,United States,United States,Other,White,English,United States,Female,No
qh7bw34xiyf27cu8qoasptrb,APPROVED,2021-01-16T16:26:35Z,2021-01-16T16:32:00Z,324.517,22,603,0,100,2021-01-17T01:28:43Z,684BBD13,United States,United States,Due to start a new job within the next month,White,English,United States,Male,Yes
3pm17u8maudkpz22g8yen7dr,APPROVED,2021-01-16T16:21:03Z,2021-01-16T16:25:05Z,241.778,42,781,1,100,2021-01-17T01:28:44Z,684BBD13,United States,United States,Full-Time,White,English,United States,Male,No
mp063me1au020mrki19q814m,APPROVED,2021-01-16T16:21:56Z,2021-01-16T16:39:31Z,1054.991,46,9,0,100,2021-01-17T01:28:49Z,684BBD13,NA,NA,Full-Time,White,NA,United States,Female,NA
6ov38mj97l699b1fbj3p1v3m,APPROVED,2021-01-16T16:21:10Z,2021-01-16T16:49:32Z,1702.34,35,107,1,99,2021-01-17T01:01:17Z,NOCODE,United States,United States,DATA EXPIRED,White,DATA EXPIRED,United States,Male,No
ts0jc11qylngewcm21iiis7y,APPROVED,2021-01-16T16:21:10Z,2021-01-16T16:49:33Z,1703.016,38,171,0,100,2021-01-17T01:00:50Z,NOCODE,United States,United States,DATA EXPIRED,White,DATA EXPIRED,United States,Male,DATA EXPIRED
yoa8t00nr38ohor8zdeb6y5z,APPROVED,2021-01-16T16:21:11Z,2021-01-16T16:38:31Z,1039.798,36,210,2,100,2021-01-17T01:28:52Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
ust3uombg5g25dfzkj72ie2i,APPROVED,2021-01-16T16:21:16Z,2021-01-16T16:28:02Z,406.029,69,59,0,100,2021-01-17T01:28:54Z,684BBD13,United States,NA,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,NA,United States,Female,No
w38awkdmzed9jhmdcngxqogf,APPROVED,2021-01-16T16:21:13Z,2021-01-16T16:49:17Z,1683.602,34,314,4,99,2021-01-17T01:28:57Z,684BBD13,United States,United States,Part-Time,White,DATA EXPIRED,United States,Male,No
rlcfvmhf2mptma9dnmhpk2sk,APPROVED,2021-01-16T16:21:17Z,2021-01-16T16:25:45Z,268.215,35,884,1,100,2021-01-17T01:28:55Z,684BBD13,United States,United States,Part-Time,White,English,United States,Male,No
i0w3nr1zmh53stxmn4ikzy5y,APPROVED,2021-01-16T16:21:14Z,2021-01-16T16:42:19Z,1264.528,32,327,0,100,2021-01-17T01:29:01Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
rh1etx3mgdg7snrgvipbr26b,APPROVED,2021-01-16T16:21:23Z,2021-01-16T16:28:33Z,430.157,40,233,3,99,2021-01-17T01:29:02Z,684BBD13,United States,United States,DATA EXPIRED,White,DATA EXPIRED,United States,Male,No
f6n4987pvuxu0lql5xpb5r3o,APPROVED,2021-01-16T16:21:21Z,2021-01-16T16:27:30Z,369.214,33,132,1,100,2021-01-17T01:29:05Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,Yes
x2nn5c0zvuw203h3805rc0t3,APPROVED,2021-01-16T16:21:30Z,2021-01-16T16:28:38Z,428.269,30,162,0,100,2021-01-17T01:29:06Z,684BBD13,United States,United States,Part-Time,White,DATA EXPIRED,United States,Male,No
8lmntcn75hu75tuqnbv5o5mf,APPROVED,2021-01-16T16:21:24Z,2021-01-16T16:25:01Z,216.98,29,214,3,98,2021-01-17T01:29:09Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Female,Yes
jd7udzgkis8w05n4jpaul3yz,APPROVED,2021-01-16T16:21:22Z,2021-01-16T16:26:40Z,318.285,50,1989,2,100,2021-01-17T01:29:09Z,684BBD13,United States,United States,Full-Time,White,English,United States,Male,No
